filename,score_Low,score_Medium,score_VeryLow,prob_Low,prob_Medium,prob_VeryLow,predict class,actual class
M05-S1-L-0025.npy,6.3716664,-1.9053239,-3.1220458,0.9996705,0.00025421774,7.529913e-05,Low,Low
M05-S1-L-0018.npy,6.2035413,-1.7102488,-3.1380758,0.9995468,0.00036550028,8.7657725e-05,Low,Low
F01-S1-L-0003.npy,4.186126,-2.2732825,-0.27322924,0.98703474,0.0015454213,0.011419815,Low,Low
M05-S1-L-0017.npy,6.3303375,-1.8579178,-3.1391652,0.9996451,0.00027779967,7.714241e-05,Low,Low
M05-S1-L-0010.npy,5.157146,-0.826337,-2.4607651,0.99699736,0.0025124676,0.00049009145,Low,Low
M05-S1-L-0011.npy,5.1818533,-0.67769283,-3.3781316,0.9969651,0.0028438808,0.00019104058,Low,Low
M05-S1-L-0023.npy,6.1436067,-1.9811734,-2.9843135,0.99959546,0.00029599018,0.000108547276,Low,Low
F01-S1-L-0020.npy,3.3290195,-1.5154266,-0.43189695,0.9698057,0.0076342872,0.02256002,Low,Low
M05-S1-L-0016.npy,5.081905,-0.7154191,-2.4948788,0.9964646,0.0030249348,0.00051039516,Low,Low
M05-S1-L-0012.npy,6.327559,-1.8596783,-3.1151206,0.9996426,0.0002780821,7.9239406e-05,Low,Low
M05-S1-L-0013.npy,6.435779,-1.9685022,-3.0961235,0.9997037,0.00022384025,7.248009e-05,Low,Low
M05-S1-L-0004.npy,5.3568797,-0.8787851,-2.5558226,0.9976809,0.0019537853,0.000365215,Low,Low
M05-S1-L-0003.npy,5.6415477,-1.1690885,-3.2434986,0.9987612,0.0011006265,0.0001382723,Low,Low
M05-S1-L-0005.npy,5.558987,-1.3273462,-2.7144396,0.99872476,0.0010203501,0.00025488375,Low,Low
F01-S1-L-0010.npy,4.5378566,-3.9738169,0.15547633,0.98746246,0.0001985857,0.012338914,Low,Low
F01-S1-L-0007.npy,-1.1420643,2.6910477,-2.6337569,0.021083215,0.97417325,0.0047435453,Medium,Low
F01-S1-L-0004.npy,3.2443075,-2.1101234,0.41279677,0.9401581,0.004444276,0.05539766,Low,Low
M05-S1-L-0002.npy,6.0087843,-1.4381713,-3.2334254,0.9993204,0.000582818,9.6797514e-05,Low,Low
M05-S1-L-0009.npy,5.893231,-1.5588964,-3.066716,0.9992918,0.00057979504,0.00012836214,Low,Low
